"","title","amount","dep","trans","views","city","states","date","time"
"610","I Paid Rs. 800 to Customs, Excise and Service Tax in Bangalore.",800,"Customs, Excise and Service Tax","Customs Check and Clearance",28,"Bangalore","Karnataka",2015-10-12,22
"611","I Paid Rs. 500 to Customs, Excise and Service Tax in Bangalore.",500,"Customs, Excise and Service Tax","Customs Check and Clearance",29,"Bangalore","Karnataka",2015-10-12,22
"612","I Paid Rs. 500 to Commercial Tax, Sales Tax, VAT in Bangalore.",500,"Commercial Tax, Sales Tax, VAT","C Form",36,"Bangalore","Karnataka",2015-10-12,22
"613","I Paid Rs. 800 to Police in Bangalore.",800,"Police","Police Harassment",47,"Bangalore","Karnataka",2015-10-12,22
"614","I Paid Rs. 500 to Police in Bangalore.",500,"Police","Filing FIR",33,"Bangalore","Karnataka",2015-10-12,22
"615","I Paid Rs. 800 to Police in Bangalore.",800,"Police","Police Harassment",30,"Bangalore","Karnataka",2015-10-12,22
"616","I Paid Rs. 500 to Commercial Tax, Sales Tax, VAT in Bangalore.",500,"Commercial Tax, Sales Tax, VAT","C Form",29,"Bangalore","Karnataka",2015-10-12,22
"617","I Paid Rs. 500 to Transport in Bangalore.",500,"Transport","New Domestic Driving License",40,"Bangalore","Karnataka",2015-10-12,22
"618","I Paid Rs. 800 to Passport in Bangalore.",800,"Passport","New Passport Application",64,"Bangalore","Karnataka",2015-10-12,22
"619","I Paid Rs. 436 to Transport in Puri.",436,"Transport","Registration of Vehicle",45,"Puri","Orissa",2015-10-12,22
"620","I Paid Rs. 384 to Police in Pedana.",384,"Police","Traffic Violations",35,"Pedana","Andhra Pradesh",2015-10-12,22
"621","I Paid Rs. 294 to Police in Murliganj.",294,"Police","Filing FIR",34,"Murliganj","Bihar",2015-10-12,22
"622","I Paid Rs. 500 to Municipal Services in Bangalore.",500,"Municipal Services","Birth Certificate",31,"Bangalore","Karnataka",2015-10-12,22
"623","I Paid Rs. 500 to Stamps and Registration in Bangalore.",500,"Stamps and Registration","Marriage Certificate",42,"Bangalore","Karnataka",2015-10-12,22
"624","I Paid Rs. 800 to Police in Bangalore.",800,"Police","Police Harassment",35,"Bangalore","Karnataka",2015-10-12,22
"625","I Paid Rs. 432 to Police in Madhepura.",432,"Police","Filing FIR",34,"Madhepura","Bihar",2015-10-12,22
"626","I Paid Rs. 500 to Municipal Services in Bangalore.",500,"Municipal Services","Birth Certificate",28,"Bangalore","Karnataka",2015-10-12,22
"627","I Paid Rs. 800 to Passport in Bangalore.",800,"Passport","New Passport Application",39,"Bangalore","Karnataka",2015-10-12,22
"628","I Paid Rs. 800 to Police in Bangalore.",800,"Police","Police Harassment",31,"Bangalore","Karnataka",2015-10-12,22
"629","I Paid Rs. 500 to Commercial Tax, Sales Tax, VAT in Bangalore.",500,"Commercial Tax, Sales Tax, VAT","C Form",31,"Bangalore","Karnataka",2015-10-12,22
"630","I Paid Rs. 1200 to Police in Bangalore.",1200,"Police","Traffic Violations",25,"Bangalore","Karnataka",2015-10-12,22
"631","I Paid Rs. 936 to Stamps and Registration in Raurkela.",936,"Stamps and Registration","Registration of Property",41,"Raurkela","Orissa",2015-10-12,22
"632","I Paid Rs. 20000 to Transport in Bangalore.",20000,"Transport","Registration of Vehicle",32,"Bangalore","Karnataka",2015-10-12,22
"633","I Paid Rs. 500 to Customs, Excise and Service Tax in Bangalore.",500,"Customs, Excise and Service Tax","Customs Check and Clearance",33,"Bangalore","Karnataka",2015-10-12,22
"634","I Paid Rs. 500 to Commercial Tax, Sales Tax, VAT in Bangalore.",500,"Commercial Tax, Sales Tax, VAT","C Form",29,"Bangalore","Karnataka",2015-10-12,22
"635","I Paid Rs. 800 to Police in Bangalore.",800,"Police","Filing FIR",26,"Bangalore","Karnataka",2015-10-12,22
"636","I Paid Rs. 1500 to Transport in Bangalore.",1500,"Transport","Registration of Vehicle",31,"Bangalore","Karnataka",2015-10-12,22
"637","I Paid Rs. 1400 to Stamps and Registration in Bangalore.",1400,"Stamps and Registration","Registration of Property",31,"Bangalore","Karnataka",2015-10-12,22
"638","I Paid Rs. 500 to Customs, Excise and Service Tax in Bangalore.",500,"Customs, Excise and Service Tax","Customs Check and Clearance",29,"Bangalore","Karnataka",2015-10-12,22
"639","I Paid Rs. 800 to Transport in Bangalore.",800,"Transport","Duplicate Registration Certificate",25,"Bangalore","Karnataka",2015-10-12,22
