"","title","amount","dep","trans","views","city","states","date","time"
"753","I Paid Rs. 1000 to Stamps and Registration in Bangalore.",1000,"Stamps and Registration","Registration of Flat or Apartment",0,"Bangalore","Karnataka",2015-10-12,22
"754","I Paid Rs. 1000 to Stamps and Registration in Bangalore.",1000,"Stamps and Registration","Marriage Certificate",33,"Bangalore","Karnataka",2015-10-12,22
"755","I Paid Rs. 500 to Municipal Services in Bangalore.",500,"Municipal Services","Birth Certificate",19,"Bangalore","Karnataka",2015-10-12,22
"756","I Paid Rs. 500 to Transport in Bangalore.",500,"Transport","New Domestic Driving License",0,"Bangalore","Karnataka",2015-10-12,22
"757","I Paid Rs. 2000 to Food, Civil Supplies and Consumer Affairs in Bangalore.",2000,"Food, Civil Supplies and Consumer Affairs","Issue of Ration Card",15,"Bangalore","Karnataka",2015-10-12,22
"758","I Paid Rs. 500 to Transport in Bangalore.",500,"Transport","Duplicate Registration Certificate",30,"Bangalore","Karnataka",2015-10-12,22
"759","I Paid Rs. 700 to Passport in Bangalore.",700,"Passport","Police Verification for Passport",24,"Bangalore","Karnataka",2015-10-12,22
"760","I Paid Rs. 500 to Municipal Services in Bangalore.",500,"Municipal Services","Birth Certificate",17,"Bangalore","Karnataka",2015-10-12,22
"761","I Paid Rs. 1300 to Police in Bangalore.",1300,"Police","Filing FIR",24,"Bangalore","Karnataka",2015-10-12,22
"762","I Paid Rs. 500 to Transport in Bangalore.",500,"Transport","Duplicate Registration Certificate",20,"Bangalore","Karnataka",2015-10-12,22
"763","I Paid Rs. 400 to Food, Civil Supplies and Consumer Affairs in Bangalore.",400,"Food, Civil Supplies and Consumer Affairs","Issue of Ration Card",15,"Bangalore","Karnataka",2015-10-12,22
"764","I Paid Rs. 500 to Income Tax in Bangalore.",500,"Income Tax","New PAN Card",36,"Bangalore","Karnataka",2015-10-12,22
"765","I Paid Rs. 1500 to Transport in Bangalore.",1500,"Transport","Duplicate Registration Certificate",21,"Bangalore","Karnataka",2015-10-12,22
"766","I Paid Rs. 500 to Stamps and Registration in Bangalore.",500,"Stamps and Registration","Registration of Property",20,"Bangalore","Karnataka",2015-10-12,22
"767","I Paid Rs. 400 to Transport in Bangalore.",400,"Transport","Duplicate Registration Certificate",19,"Bangalore","Karnataka",2015-10-12,22
"768","I Paid Rs. 500 to Transport in Bangalore.",500,"Transport","Duplicate Registration Certificate",28,"Bangalore","Karnataka",2015-10-12,22
"769","I Paid Rs. 500 to Transport in Bangalore.",500,"Transport","Duplicate Registration Certificate",0,"Bangalore","Karnataka",2015-10-12,22
"770","I Paid Rs. 400 to Transport in Bangalore.",400,"Transport","Duplicate Registration Certificate",21,"Bangalore","Karnataka",2015-10-12,22
"771","I Paid Rs. 500 to Stamps and Registration in Bangalore.",500,"Stamps and Registration","Marriage Certificate",18,"Bangalore","Karnataka",2015-10-12,22
"772","I Paid Rs. 500 to Police in Bangalore.",500,"Police","Police Verification for Passport",21,"Bangalore","Karnataka",2015-10-12,22
"773","I Paid Rs. 5000 to Customs, Excise and Service Tax in Bangalore.",5000,"Customs, Excise and Service Tax","Customs Check and Clearance",24,"Bangalore","Karnataka",2015-10-12,22
"774","I Paid Rs. 400 to Food, Civil Supplies and Consumer Affairs in Bangalore.",400,"Food, Civil Supplies and Consumer Affairs","Issue of Ration Card",16,"Bangalore","Karnataka",2015-10-12,22
"775","I Paid Rs. 500 to Income Tax in Bangalore.",500,"Income Tax","New PAN Card",27,"Bangalore","Karnataka",2015-10-12,22
"776","I Paid Rs. 1200 to Municipal Services in Bangalore.",1200,"Municipal Services","Birth Certificate",16,"Bangalore","Karnataka",2015-10-12,22
"777","I Paid Rs. 500 to Food, Civil Supplies and Consumer Affairs in Bangalore.",500,"Food, Civil Supplies and Consumer Affairs","Issue of Ration Card",14,"Bangalore","Karnataka",2015-10-12,22
"778","I Paid Rs. 400 to Transport in Bangalore.",400,"Transport","Duplicate Registration Certificate",20,"Bangalore","Karnataka",2015-10-12,22
"779","I Paid Rs. 1000 to Passport in Bangalore.",1000,"Passport","Passport Delivery",27,"Bangalore","Karnataka",2015-10-12,22
"780","I Paid Rs. 1000 to Commercial Tax, Sales Tax, VAT in New Delhi.",1000,"Commercial Tax, Sales Tax, VAT","C Form",45,"New Delhi","Delhi",2015-10-12,22
"781","I Paid Rs. 1000 to Commercial Tax, Sales Tax, VAT in Bangalore.",1000,"Commercial Tax, Sales Tax, VAT","C Form",22,"Bangalore","Karnataka",2015-10-12,22
"782","I Paid Rs. 500 to Commercial Tax, Sales Tax, VAT in Bangalore.",500,"Commercial Tax, Sales Tax, VAT","C Form",22,"Bangalore","Karnataka",2015-10-12,22
"783","I Paid Rs. 500 to Police in Bangalore.",500,"Police","Filing FIR",25,"Bangalore","Karnataka",2015-10-12,22
"784","I Paid Rs. 500 to Police in Bangalore.",500,"Police","Filing FIR",20,"Bangalore","Karnataka",2015-10-12,22
"785","I Paid Rs. 500 to Stamps and Registration in Bangalore.",500,"Stamps and Registration","Marriage Certificate",22,"Bangalore","Karnataka",2015-10-12,22
"786","I Paid Rs. 500 to Municipal Services in Bangalore.",500,"Municipal Services","Birth Certificate",18,"Bangalore","Karnataka",2015-10-12,22
"787","I Paid Rs. 500 to Commercial Tax, Sales Tax, VAT in Bangalore.",500,"Commercial Tax, Sales Tax, VAT","C Form",21,"Bangalore","Karnataka",2015-10-12,22
"788","I Paid Rs. 500 to Customs, Excise and Service Tax in Bangalore.",500,"Customs, Excise and Service Tax","Customs Check and Clearance",24,"Bangalore","Karnataka",2015-10-12,22
"789","I Paid Rs. 500 to Municipal Services in Bangalore.",500,"Municipal Services","Birth Certificate",19,"Bangalore","Karnataka",2015-10-12,22
"790","I Paid Rs. 500 to Stamps and Registration in Bangalore.",500,"Stamps and Registration","Marriage Certificate",21,"Bangalore","Karnataka",2015-10-12,22
"791","I Paid Rs. 500 to Transport in Bangalore.",500,"Transport","Duplicate Registration Certificate",21,"Bangalore","Karnataka",2015-10-12,22
"792","I Paid Rs. 90 to Municipal Services in Tirunelveli.",90,"Municipal Services","Birth Certificate",26,"Tirunelveli","Tamil Nadu",2015-10-12,22
"793","I Paid Rs. 2000 to Passport in Hyderabad.",2000,"Passport","Police Verification for Passport",56,"Hyderabad","Telangana",2015-10-12,22
"794","I Paid Rs. 500 to Transport in Bangalore.",500,"Transport","Duplicate Registration Certificate",20,"Bangalore","Karnataka",2015-10-12,22
"795","I Paid Rs. 1800 to Transport in Bangalore.",1800,"Transport","New Domestic Driving License",24,"Bangalore","Karnataka",2015-10-12,22
"796","I Paid Rs. 500 to Police in Bangalore.",500,"Police","Filing FIR",20,"Bangalore","Karnataka",2015-10-12,22
"797","I Paid Rs. 400 to Police in Bangalore.",400,"Police","Police Verification for Passport",16,"Bangalore","Karnataka",2015-10-12,22
"798","I Paid Rs. 30 to Customs, Excise and Service Tax in Adari.",30,"Customs, Excise and Service Tax","Customs Check and Clearance",76,"Adari","Uttar Pradesh",2015-10-12,22
"799","I Paid Rs. 30 to Food, Civil Supplies and Consumer Affairs in Adra.",30,"Food, Civil Supplies and Consumer Affairs","Issue of Ration Card",48,"Adra","West Bengal",2015-10-12,22
"800","I Paid Rs. 4000 to Passport in Bangalore.",4000,"Passport","Passport Delivery",24,"Bangalore","Karnataka",2015-10-12,22
"801","I Paid Rs. 500 to Transport in Bangalore.",500,"Transport","Duplicate Registration Certificate",16,"Bangalore","Karnataka",2015-10-12,22
"802","I Paid Rs. 50 to Food, Civil Supplies and Consumer Affairs in Dadri.",50,"Food, Civil Supplies and Consumer Affairs","Issue of Ration Card",51,"Dadri","Uttar Pradesh",2015-10-12,22
"803","I Paid Rs. 500 to Customs, Excise and Service Tax in Bangalore.",500,"Customs, Excise and Service Tax","Customs Check and Clearance",37,"Bangalore","Karnataka",2015-10-12,22
"804","I Paid Rs. 500 to Customs, Excise and Service Tax in Bangalore.",500,"Customs, Excise and Service Tax","Customs Check and Clearance",0,"Bangalore","Karnataka",2015-10-12,22
"805","I Paid Rs. 400 to Customs, Excise and Service Tax in Bangalore.",400,"Customs, Excise and Service Tax","Customs Check and Clearance",24,"Bangalore","Karnataka",2015-10-12,22
"806","I Paid Rs. 25 to Commercial Tax, Sales Tax, VAT in Achhnera.",25,"Commercial Tax, Sales Tax, VAT","C Form",86,"Achhnera","Uttar Pradesh",2015-10-12,22
"807","I Paid Rs. 500 to Municipal Services in Bangalore.",500,"Municipal Services","Birth Certificate",20,"Bangalore","Karnataka",2015-10-12,22
"808","I Paid Rs. 500 to Passport in Bangalore.",500,"Passport","Police Verification for Passport",26,"Bangalore","Karnataka",2015-10-12,22
"809","I Paid Rs. 30 to Transport in Adilabad.",30,"Transport","New Domestic Driving License",90,"Adilabad","Telangana",2015-10-12,22
"810","I Paid Rs. 1000 to Transport in New Delhi.",1000,"Transport","New Domestic Driving License",40,"New Delhi","Delhi",2015-10-12,22
"811","I Paid Rs. 6321 to Stamps and Registration in Anand.",6321,"Stamps and Registration","Registration of Property",42,"Anand","Gujarat",2015-10-12,22
"812","I Paid Rs. 400 to Police in Bangalore.",400,"Police","Filing FIR",22,"Bangalore","Karnataka",2015-10-12,22
"813","I Paid Rs. 25 to Transport in Agra.",25,"Transport","New Domestic Driving License",22,"Agra","Uttar Pradesh",2015-10-12,22
"814","I Paid Rs. 500 to Police in Bangalore.",500,"Police","Police Harassment",18,"Bangalore","Karnataka",2015-10-12,22
"815","I Paid Rs. 30 to Customs, Excise and Service Tax in Adari.",30,"Customs, Excise and Service Tax","Customs Check and Clearance",72,"Adari","Uttar Pradesh",2015-10-12,22
"816","I Paid Rs. 400 to Transport in Bangalore.",400,"Transport","Duplicate Registration Certificate",17,"Bangalore","Karnataka",2015-10-12,22
"817","I Paid Rs. 6523 to Transport in Bagalkot.",6523,"Transport","Registration of Vehicle",30,"Bagalkot","Karnataka",2015-10-12,22
"818","I Paid Rs. 500 to Customs, Excise and Service Tax in Bangalore.",500,"Customs, Excise and Service Tax","Customs Check and Clearance",23,"Bangalore","Karnataka",2015-10-12,22
"819","I Paid Rs. 6400 to Stamps and Registration in Bangalore.",6400,"Stamps and Registration","Registration of Flat or Apartment",22,"Bangalore","Karnataka",2015-10-12,22
"820","I Paid Rs. 400 to Customs, Excise and Service Tax in Bangalore.",400,"Customs, Excise and Service Tax","Customs Check and Clearance",29,"Bangalore","Karnataka",2015-10-12,22
"821","I Paid Rs. 25 to Transport in Abohar.",25,"Transport","Duplicate Registration Certificate",77,"Abohar","Punjab",2015-10-12,22
"822","I Paid Rs. 60000 to Commercial Tax, Sales Tax, VAT in Mumbai.",60000,"Commercial Tax, Sales Tax, VAT","C Form",68,"Mumbai","Maharashtra",2015-10-12,22
"823","I Paid Rs. 7956 to Stamps and Registration in Anugul.",7956,"Stamps and Registration","Registration of Property",33,"Anugul","Orissa",2015-10-12,22
"824","I Paid Rs. 500 to Stamps and Registration in Bangalore.",500,"Stamps and Registration","Registration of Flat or Apartment",19,"Bangalore","Karnataka",2015-10-12,22
"825","I Paid Rs. 20 to Others in Patna.",20,"Others","Others",78,"Patna","Bihar",2015-10-12,22
"826","I Paid Rs. 400 to Municipal Services in Bangalore.",400,"Municipal Services","Birth Certificate",17,"Bangalore","Karnataka",2015-10-12,22
"827","I Paid Rs. 500 to Stamps and Registration in Bangalore.",500,"Stamps and Registration","Registration of Property",19,"Bangalore","Karnataka",2015-10-12,22
"828","I Paid Rs. 32 to Commercial Tax, Sales Tax, VAT in Achhnera.",32,"Commercial Tax, Sales Tax, VAT","C Form",83,"Achhnera","Uttar Pradesh",2015-10-12,22
"829","I Paid Rs. 2500 to Police in Bangalore.",2500,"Police","Filing FIR",18,"Bangalore","Karnataka",2015-10-12,22
"830","I Paid Rs. 400 to Customs, Excise and Service Tax in Bangalore.",400,"Customs, Excise and Service Tax","Customs Check and Clearance",28,"Bangalore","Karnataka",2015-10-12,22
"831","I Paid Rs. 15 to Commercial Tax, Sales Tax, VAT in Abohar.",15,"Commercial Tax, Sales Tax, VAT","C Form",79,"Abohar","Punjab",2015-10-12,22
"832","I Paid Rs. 7410 to Police in Amroha.",7410,"Police","Police Verification for Passport",33,"Amroha","Uttar Pradesh",2015-10-12,22
"833","I Paid Rs. 500 to Food, Civil Supplies and Consumer Affairs in Bangalore.",500,"Food, Civil Supplies and Consumer Affairs","Issue of Ration Card",21,"Bangalore","Karnataka",2015-10-12,22
"834","I Paid Rs. 500 to Passport in Bangalore.",500,"Passport","Passport Delivery",22,"Bangalore","Karnataka",2015-10-12,22
"835","I Paid Rs. 46301 to Customs, Excise and Service Tax in Almora.",46301,"Customs, Excise and Service Tax","Customs Check and Clearance",30,"Almora","Uttarakhand",2015-10-12,22
"836","I Paid Rs. 3400 to Stamps and Registration in Bangalore.",3400,"Stamps and Registration","Registration of Property",16,"Bangalore","Karnataka",2015-10-12,22
"837","I Paid Rs. 25 to Customs, Excise and Service Tax in Adari.",25,"Customs, Excise and Service Tax","Customs Check and Clearance",74,"Adari","Uttar Pradesh",2015-10-12,22
"838","I Paid Rs. 500 to Customs, Excise and Service Tax in Bangalore.",500,"Customs, Excise and Service Tax","Customs Check and Clearance",25,"Bangalore","Karnataka",2015-10-12,22
"839","I Paid Rs. 42000 to Commercial Tax, Sales Tax, VAT in Ariyalur.",42000,"Commercial Tax, Sales Tax, VAT","C Form",42,"Ariyalur","Tamil Nadu",2015-10-12,22
"840","I Paid Rs. 500 to Transport in Bangalore.",500,"Transport","Duplicate Registration Certificate",17,"Bangalore","Karnataka",2015-10-12,22
"841","I Paid Rs. 400 to Transport in Bangalore.",400,"Transport","Duplicate Registration Certificate",18,"Bangalore","Karnataka",2015-10-12,22
"842","I Paid Rs. 14000 to Police in Banda.",14000,"Police","Traffic Violations",71,"Banda","Uttar Pradesh",2015-10-12,22
"843","I Paid Rs. 500 to Police in Bangalore.",500,"Police","Filing FIR",17,"Bangalore","Karnataka",2015-10-12,22
"844","I Paid Rs. 6502 to Police in Akola.",6502,"Police","Traffic Violations",28,"Akola","Madhya Pradesh",2015-10-12,22
"845","I Paid Rs. 500 to Transport in Bangalore.",500,"Transport","Duplicate Registration Certificate",22,"Bangalore","Karnataka",2015-10-12,22
"846","I Paid Rs. 1000 to Commercial Tax, Sales Tax, VAT in New Delhi.",1000,"Commercial Tax, Sales Tax, VAT","C Form",47,"New Delhi","Delhi",2015-10-12,22
"847","I Paid Rs. 4632 to Police in Araria.",4632,"Police","Police Verification for Passport",38,"Araria","Bihar",2015-10-12,22
"848","I Paid Rs. 400 to Customs, Excise and Service Tax in Bangalore.",400,"Customs, Excise and Service Tax","Customs Check and Clearance",25,"Bangalore","Karnataka",2015-10-12,22
"849","I Paid Rs. 48000 to Stamps and Registration in Ambikapur.",48000,"Stamps and Registration","Registration of Flat or Apartment",24,"Ambikapur","Chhattisgarh",2015-10-12,22
"850","I Paid Rs. 500 to Passport in Bangalore.",500,"Passport","Passport Delivery",26,"Bangalore","Karnataka",2015-10-12,22
"851","I Paid Rs. 500 to Stamps and Registration in Bangalore.",500,"Stamps and Registration","Marriage Certificate",20,"Bangalore","Karnataka",2015-10-12,22
"852","I Paid Rs. 400 to Commercial Tax, Sales Tax, VAT in Bangalore.",400,"Commercial Tax, Sales Tax, VAT","C Form",24,"Bangalore","Karnataka",2015-10-12,22
"853","I Paid Rs. 45000 to Transport in Baghpat.",45000,"Transport","Registration of Vehicle",23,"Baghpat","Uttar Pradesh",2015-10-12,22
"854","I Paid Rs. 500 to Commercial Tax, Sales Tax, VAT in Bangalore.",500,"Commercial Tax, Sales Tax, VAT","C Form",22,"Bangalore","Karnataka",2015-10-12,22
"855","I Paid Rs. 41000 to Stamps and Registration in Amarpur.",41000,"Stamps and Registration","Registration of Property",53,"Amarpur","Bihar",2015-10-12,22
"856","I Paid Rs. 500 to Transport in Bangalore.",500,"Transport","Registration of Vehicle",16,"Bangalore","Karnataka",2015-10-12,22
"857","I Paid Rs. 1236 to Police in Aurangabad.",1236,"Police","Police Harassment",21,"Aurangabad","Maharashtra",2015-10-12,22
"858","I Paid Rs. 500 to Food, Civil Supplies and Consumer Affairs in Bangalore.",500,"Food, Civil Supplies and Consumer Affairs","Issue of Ration Card",18,"Bangalore","Karnataka",2015-10-12,22
"859","I Paid Rs. 500 to Customs, Excise and Service Tax in Bangalore.",500,"Customs, Excise and Service Tax","Customs Check and Clearance",0,"Bangalore","Karnataka",2015-10-12,22
"860","I Paid Rs. 500 to Customs, Excise and Service Tax in Bangalore.",500,"Customs, Excise and Service Tax","Customs Check and Clearance",34,"Bangalore","Karnataka",2015-10-12,22
"861","I Paid Rs. 6500 to Stamps and Registration in Bangalore.",6500,"Stamps and Registration","Registration of Flat or Apartment",18,"Bangalore","Karnataka",2015-10-12,22
"862","I Paid Rs. 12347 to Customs, Excise and Service Tax in Adoni.",12347,"Customs, Excise and Service Tax","Customs Check and Clearance",56,"Adoni","Andhra Pradesh",2015-10-12,22
"863","I Paid Rs. 2000 to Transport in Bangalore.",2000,"Transport","Duplicate Registration Certificate",18,"Bangalore","Karnataka",2015-10-12,22
"864","I Paid Rs. 500 to Transport in Bangalore.",500,"Transport","Duplicate Registration Certificate",16,"Bangalore","Karnataka",2015-10-12,22
"865","I Paid Rs. 400 to Transport in Bangalore.",400,"Transport","Duplicate Registration Certificate",20,"Bangalore","Karnataka",2015-10-12,22
"866","I Paid Rs. 4500 to Stamps and Registration in Bangalore.",4500,"Stamps and Registration","Registration of Property",18,"Bangalore","Karnataka",2015-10-12,22
"867","I Paid Rs. 500 to Customs, Excise and Service Tax in Bangalore.",500,"Customs, Excise and Service Tax","Customs Check and Clearance",17,"Bangalore","Karnataka",2015-10-12,22
"868","I Paid Rs. 400 to Police in Bangalore.",400,"Police","Filing FIR",17,"Bangalore","Karnataka",2015-10-12,22
"869","I Paid Rs. 12365 to Police in Aligarh.",12365,"Police","Police Verification for Passport",54,"Aligarh","Uttar Pradesh",2015-10-12,22
"870","I Paid Rs. 500 to Commercial Tax, Sales Tax, VAT in Bangalore.",500,"Commercial Tax, Sales Tax, VAT","C Form",19,"Bangalore","Karnataka",2015-10-12,22
"871","I Paid Rs. 500 to Stamps and Registration in Bangalore.",500,"Stamps and Registration","Registration of Flat or Apartment",15,"Bangalore","Karnataka",2015-10-12,22
"872","I Paid Rs. 500 to Customs, Excise and Service Tax in Bangalore.",500,"Customs, Excise and Service Tax","Customs Check and Clearance",20,"Bangalore","Karnataka",2015-10-12,22
"873","I Paid Rs. 400 to Customs, Excise and Service Tax in Bangalore.",400,"Customs, Excise and Service Tax","Customs Check and Clearance",21,"Bangalore","Karnataka",2015-10-12,22
"874","I Paid Rs. 500 to Stamps and Registration in Bangalore.",500,"Stamps and Registration","Marriage Certificate",17,"Bangalore","Karnataka",2015-10-12,22
"875","I Paid Rs. 48000 to Transport in Ambikapur.",48000,"Transport","Duplicate Registration Certificate",30,"Ambikapur","Chhattisgarh",2015-10-12,22
"876","I Paid Rs. 1200 to Passport in Hyderabad.",1200,"Passport","Passport Delivery",61,"Hyderabad","Telangana",2015-10-12,22
"877","I Paid Rs. 500 to Transport in Bangalore.",500,"Transport","Duplicate Registration Certificate",20,"Bangalore","Karnataka",2015-10-12,22
"878","I Paid Rs. 1230 to Municipal Services in Adari.",1230,"Municipal Services","Birth Certificate",65,"Adari","Uttar Pradesh",2015-10-12,22
"879","I Paid Rs. 500 to Transport in Bangalore.",500,"Transport","Duplicate Registration Certificate",16,"Bangalore","Karnataka",2015-10-12,22
"880","I Paid Rs. 5000 to Stamps and Registration in Bangalore.",5000,"Stamps and Registration","Registration of Property",26,"Bangalore","Karnataka",2015-10-12,22
"881","I Paid Rs. 500 to Customs, Excise and Service Tax in Bangalore.",500,"Customs, Excise and Service Tax","Customs Check and Clearance",20,"Bangalore","Karnataka",2015-10-12,22
"882","I Paid Rs. 500 to Transport in Bangalore.",500,"Transport","Duplicate Registration Certificate",17,"Bangalore","Karnataka",2015-10-12,22
"883","I Paid Rs. 21000 to Police in Ameenapuram.",21000,"Police","Filing FIR",25,"Ameenapuram","Telangana",2015-10-12,22
"884","I Paid Rs. 500 to Municipal Services in Bangalore.",500,"Municipal Services","Birth Certificate",30,"Bangalore","Karnataka",2015-10-12,22
"885","I Paid Rs. 500 to Stamps and Registration in Bangalore.",500,"Stamps and Registration","Registration of Property",24,"Bangalore","Karnataka",2015-10-12,22
"886","I Paid Rs. 500 to Police in Bangalore.",500,"Police","Filing FIR",18,"Bangalore","Karnataka",2015-10-12,22
"887","I Paid Rs. 500 to Food, Civil Supplies and Consumer Affairs in Bangalore.",500,"Food, Civil Supplies and Consumer Affairs","Issue of Ration Card",17,"Bangalore","Karnataka",2015-10-12,22
"888","I Paid Rs. 4200 to Stamps and Registration in Aurangabad.",4200,"Stamps and Registration","Registration of Flat or Apartment",60,"Aurangabad","Bihar",2015-10-12,22
"889","I Paid Rs. 500 to Transport in Bangalore.",500,"Transport","Registration of Vehicle",0,"Bangalore","Karnataka",2015-10-12,22
"890","I Paid Rs. 500 to Transport in Bangalore.",500,"Transport","Duplicate Registration Certificate",42,"Bangalore","Karnataka",2015-10-12,22
"891","I Paid Rs. 500 to Transport in Bangalore.",500,"Transport","Duplicate Registration Certificate",0,"Bangalore","Karnataka",2015-10-12,22
"892","I Paid Rs. 500 to Transport in Bangalore.",500,"Transport","Duplicate Registration Certificate",0,"Bangalore","Karnataka",2015-10-12,22
"893","I Paid Rs. 500 to Stamps and Registration in Bangalore.",500,"Stamps and Registration","Marriage Certificate",24,"Bangalore","Karnataka",2015-10-12,22
"894","I Paid Rs. 500 to Transport in Bangalore.",500,"Transport","Duplicate Registration Certificate",31,"Bangalore","Karnataka",2015-10-12,22
"895","I Paid Rs. 17000 to Transport in Amguri.",17000,"Transport","Duplicate Registration Certificate",39,"Amguri","Assam",2015-10-12,22
"896","I Paid Rs. 500 to Police in Bangalore.",500,"Police","Traffic Violations",16,"Bangalore","Karnataka",2015-10-12,22
"897","I Paid Rs. 200 to Transport in Bangalore.",200,"Transport","Duplicate Registration Certificate",17,"Bangalore","Karnataka",2015-10-12,22
"898","I Paid Rs. 500 to Customs, Excise and Service Tax in Bangalore.",500,"Customs, Excise and Service Tax","Customs Check and Clearance",19,"Bangalore","Karnataka",2015-10-12,22
"899","I Paid Rs. 10000 to Transport in Bangalore.",10000,"Transport","Registration of Vehicle",16,"Bangalore","Karnataka",2015-10-12,22
"900","I Paid Rs. 500 to Commercial Tax, Sales Tax, VAT in Bangalore.",500,"Commercial Tax, Sales Tax, VAT","C Form",22,"Bangalore","Karnataka",2015-10-12,22
"901","I Paid Rs. 400 to Police in Bangalore.",400,"Police","Filing FIR",18,"Bangalore","Karnataka",2015-10-12,22
"902","I Paid Rs. 4100 to Municipal Services in Abhayapuri.",4100,"Municipal Services","Birth Certificate",67,"Abhayapuri","Assam",2015-10-12,22
"903","I Paid Rs. 400 to Municipal Services in Bangalore.",400,"Municipal Services","Birth Certificate",22,"Bangalore","Karnataka",2015-10-12,22
"904","I Paid Rs. 1800 to Police in Bangalore.",1800,"Police","Filing FIR",18,"Bangalore","Karnataka",2015-10-12,22
"905","I Paid Rs. 500 to Stamps and Registration in Bangalore.",500,"Stamps and Registration","Marriage Certificate",19,"Bangalore","Karnataka",2015-10-12,22
"906","I Paid Rs. 500 to Transport in Bangalore.",500,"Transport","Duplicate Registration Certificate",20,"Bangalore","Karnataka",2015-10-12,22
"907","I Paid Rs. 1500 to Transport in Bangalore.",1500,"Transport","Duplicate Registration Certificate",22,"Bangalore","Karnataka",2015-10-12,22
"908","I Paid Rs. 500 to Stamps and Registration in Bangalore.",500,"Stamps and Registration","Marriage Certificate",20,"Bangalore","Karnataka",2015-10-12,22
"909","I Paid Rs. 400 to Transport in Bangalore.",400,"Transport","Duplicate Registration Certificate",21,"Bangalore","Karnataka",2015-10-12,22
"910","I Paid Rs. 400 to Transport in Bangalore.",400,"Transport","Duplicate Registration Certificate",18,"Bangalore","Karnataka",2015-10-12,22
"911","I Paid Rs. 500 to Transport in Bangalore.",500,"Transport","Duplicate Registration Certificate",18,"Bangalore","Karnataka",2015-10-12,22
"912","I Paid Rs. 500 to Customs, Excise and Service Tax in Bangalore.",500,"Customs, Excise and Service Tax","Customs Check and Clearance",19,"Bangalore","Karnataka",2015-10-12,22
"913","I Paid Rs. 400 to Customs, Excise and Service Tax in Bangalore.",400,"Customs, Excise and Service Tax","Customs Check and Clearance",19,"Bangalore","Karnataka",2015-10-12,22
"914","I Paid Rs. 200 to Police in Bangalore.",200,"Police","Filing FIR",19,"Bangalore","Karnataka",2015-10-12,22
"915","I Paid Rs. 500 to Food, Civil Supplies and Consumer Affairs in Bangalore.",500,"Food, Civil Supplies and Consumer Affairs","Issue of Ration Card",24,"Bangalore","Karnataka",2015-10-12,22
"916","I Paid Rs. 2000 to Police in Hyderabad.",2000,"Police","Police Verification for Passport",55,"Hyderabad","Telangana",2015-10-12,22
"917","I Paid Rs. 500 to Customs, Excise and Service Tax in Bangalore.",500,"Customs, Excise and Service Tax","Customs Check and Clearance",21,"Bangalore","Karnataka",2015-10-12,22
"918","I Paid Rs. 20000 to Municipal Services in Greater Noida.",20000,"Municipal Services","Birth Certificate",56,"Greater Noida","Uttar Pradesh",2015-10-12,22
"919","I Paid Rs. 2300 to Stamps and Registration in Bangalore.",2300,"Stamps and Registration","Marriage Certificate",15,"Bangalore","Karnataka",2015-10-12,22
"920","I Paid Rs. 500 to Transport in Bangalore.",500,"Transport","Duplicate Registration Certificate",0,"Bangalore","Karnataka",2015-10-12,22
"921","I Paid Rs. 500 to Municipal Services in Bangalore.",500,"Municipal Services","Birth Certificate",0,"Bangalore","Karnataka",2015-10-12,22
"922","I Paid Rs. 2000 to Food, Civil Supplies and Consumer Affairs in Bangalore.",2000,"Food, Civil Supplies and Consumer Affairs","Issue of Ration Card",19,"Bangalore","Karnataka",2015-10-12,22
"923","I Paid Rs. 700 to Police in Bangalore.",700,"Police","Filing FIR",21,"Bangalore","Karnataka",2015-10-12,22
"924","I Paid Rs. 900 to Municipal Services in Bangalore.",900,"Municipal Services","Birth Certificate",16,"Bangalore","Karnataka",2015-10-12,22
"925","I Paid Rs. 500 to Stamps and Registration in Bangalore.",500,"Stamps and Registration","Marriage Certificate",17,"Bangalore","Karnataka",2015-10-12,22
"926","I Paid Rs. 400 to Customs, Excise and Service Tax in Bangalore.",400,"Customs, Excise and Service Tax","Customs Check and Clearance",17,"Bangalore","Karnataka",2015-10-12,22
"927","I Paid Rs. 300 to Transport in New Delhi.",300,"Transport","New Domestic Driving License",44,"New Delhi","Delhi",2015-10-12,22
"928","I Paid Rs. 500 to Police in Bangalore.",500,"Police","Traffic Violations",17,"Bangalore","Karnataka",2015-10-12,22
"929","I Paid Rs. 500 to Transport in Bangalore.",500,"Transport","Duplicate Registration Certificate",13,"Bangalore","Karnataka",2015-10-12,22
"930","I Paid Rs. 1300 to Transport in Bangalore.",1300,"Transport","New Domestic Driving License",14,"Bangalore","Karnataka",2015-10-12,22
"931","I Paid Rs. 50 to Transport in Bangalore.",50,"Transport","Duplicate Registration Certificate",15,"Bangalore","Karnataka",2015-10-12,22
"932","I Paid Rs. 400 to Municipal Services in Bangalore.",400,"Municipal Services","Birth Certificate",14,"Bangalore","Karnataka",2015-10-12,22
"933","I Paid Rs. 600 to Food, Civil Supplies and Consumer Affairs in Bangalore.",600,"Food, Civil Supplies and Consumer Affairs","Issue of Ration Card",15,"Bangalore","Karnataka",2015-10-12,22
"934","I Paid Rs. 700 to Municipal Services in Bangalore.",700,"Municipal Services","Birth Certificate",14,"Bangalore","Karnataka",2015-10-12,22
